id,curriculo_id,registro_academico,nome,nome_normalizado,forma_ingresso_id,forma_evasao_id,data_matricula,data_conclusao,data_colacao,ira,created_at,updated_at
608,4,GRR94082026,Humberto Dasilva,HUMBERTODASILVA,9,15,2018-12-05,,,0.4497,2024-11-12 20:04:47.235167,2024-11-12 20:04:47.235174
609,4,GRR16417118,Izabela Da Costa,IZABELADACOSTA,21,15,2019-01-24,,,0.4852,2024-11-12 20:04:47.245490,2024-11-12 20:04:47.245498
610,3,GRR90957158,Bianca De Souza,BIANCADESOUZA,10,9,2016-01-19,2021-12-18,2022-03-25,0.9085,2024-11-12 20:04:44.303337,2024-11-12 20:04:44.303346
611,4,GRR59956709,Robert Das Chagas,ROBERTDASCHAGAS,12,4,2019-01-17,,,0.1906,2024-11-12 20:04:44.309480,2024-11-12 20:04:44.309489
612,3,GRR27061598,Zenaide Ferraz,ZENAIDEFERRAZ,10,9,2016-01-19,2021-12-18,2022-03-25,0.8852,2024-11-12 20:04:44.314642,2024-11-12 20:04:44.314650
613,4,GRR73208429,Marlene Vaz,MARLENEVAZ,12,15,2018-01-12,,,0.2983,2024-11-12 20:04:44.319954,2024-11-12 20:04:44.319962
614,5,GRR00245876,Kenia Barcelos,KENIABARCELOS,12,15,2023-03-06,,,0.531,2024-11-12 20:04:47.250965,2024-11-12 20:04:47.250973
615,3,GRR24740064,Carolaine De Melo,CAROLAINEDEMELO,12,4,2017-01-12,,,0.0,2024-11-12 20:04:44.330666,2024-11-12 20:04:44.330674
616,4,GRR61298701,Renato Pedroso,RENATOPEDROSO,12,15,2021-09-20,,,0.7412,2024-11-12 20:04:47.256487,2024-11-12 20:04:47.256496
617,4,GRR80617293,Jeferson Melo,JEFERSONMELO,12,15,2017-01-12,,,0.4622,2024-11-12 20:04:47.266727,2024-11-12 20:04:47.266735
618,4,GRR05827229,Jacson Sena,JACSONSENA,12,15,2022-05-18,,,0.8414,2024-11-12 20:04:47.282093,2024-11-12 20:04:47.282100
619,4,GRR66755259,Cibele Do Prado,CIBELEDOPRADO,12,15,2022-04-01,,,0.7072,2024-11-12 20:04:47.287097,2024-11-12 20:04:47.287103
620,5,GRR91655074,Severina De Aquino,SEVERINADEAQUINO,12,15,2023-03-03,,,0.55,2024-11-12 20:04:47.292202,2024-11-12 20:04:47.292211
621,4,GRR06408179,Laisa Rangel,LAISARANGEL,12,15,2020-01-25,,,0.3796,2024-11-12 20:04:47.297631,2024-11-12 20:04:47.297639
622,3,GRR66008088,Rosineide Cardoso,ROSINEIDECARDOSO,9,15,2016-12-09,,,0.2698,2024-11-12 20:04:47.308339,2024-11-12 20:04:47.308347
623,4,GRR46721867,Vera Freitas,VERAFREITAS,9,1,2018-12-05,,,0.3067,2024-11-12 20:04:44.371771,2024-11-12 20:04:44.371779
624,4,GRR92412470,Rita De Cassia,RITADECASSIA,12,15,2019-01-17,,2024-05-03,0.8351,2024-11-12 20:04:47.313684,2024-11-12 20:04:47.313692
625,5,GRR45385948,Laiane Toledo,LAIANETOLEDO,12,15,2023-03-06,,,0.7282,2024-11-12 20:04:47.319031,2024-11-12 20:04:47.319039
626,5,GRR50561405,Marli Silveira,MARLISILVEIRA,7,15,2020-01-25,,,0.926,2024-11-12 20:04:44.387188,2024-11-12 20:04:44.387195
627,5,GRR55380157,Mariane Monteiro,MARIANEMONTEIRO,12,15,2023-03-03,,,0.8655,2024-11-12 20:04:47.324598,2024-11-12 20:04:47.324606
628,4,GRR17688137,Valdomiro De Moraes,VALDOMIRODEMORAES,12,15,2019-01-17,,,0.8147,2024-11-12 20:04:44.397444,2024-11-12 20:04:44.397451
629,4,GRR18665558,Sebastiao Abreu,SEBASTIAOABREU,10,15,2022-03-28,,,0.94,2024-11-12 20:04:47.334534,2024-11-12 20:04:47.334541
630,4,GRR76239909,Rosineide De Fatima,ROSINEIDEDEFATIMA,10,15,2019-01-31,,,0.8243,2024-11-12 20:04:47.339634,2024-11-12 20:04:47.339641
631,4,GRR28187593,Saulo Leite,SAULOLEITE,10,15,2021-09-20,,,0.8404,2024-11-12 20:04:47.344804,2024-11-12 20:04:47.344812
632,4,GRR85916450,Carolaine Carlos,CAROLAINECARLOS,12,15,2020-02-15,,,0.7085,2024-11-12 20:04:47.349714,2024-11-12 20:04:47.349722
633,4,GRR84402052,Noemi De Campos,NOEMIDECAMPOS,12,15,2022-04-26,,,0.5138,2024-11-12 20:04:47.360017,2024-11-12 20:04:47.360025
634,3,GRR77378191,Lurdes Rosa,LURDESROSA,20,1,2016-12-14,,,0.064,2024-11-12 20:04:44.428314,2024-11-12 20:04:44.428322
635,4,GRR58547287,Gleison Dasilva,GLEISONDASILVA,9,15,2020-02-27,,,0.6435,2024-11-12 20:04:47.365519,2024-11-12 20:04:47.365528
636,4,GRR98757530,Elaine Coelho,ELAINECOELHO,12,15,2020-01-25,,,0.3664,2024-11-12 20:04:47.370700,2024-11-12 20:04:47.370707
637,4,GRR42171775,Anna Serafim,ANNASERAFIM,12,15,2020-01-25,,,0.2619,2024-11-12 20:04:47.375482,2024-11-12 20:04:47.375489
638,4,GRR28150061,Walter Correa,WALTERCORREA,10,15,2018-01-29,,,0.6098,2024-11-12 20:04:47.381187,2024-11-12 20:04:47.381195
639,4,GRR36065806,Ester Evangelista,ESTEREVANGELISTA,12,4,2018-01-12,,,0.132,2024-11-12 20:04:44.453749,2024-11-12 20:04:44.453756
640,4,GRR52698196,Ivonete De Matos,IVONETEDEMATOS,12,15,2018-01-12,,,0.8218,2024-11-12 20:04:47.392266,2024-11-12 20:04:47.392273
641,4,GRR96054502,Arthur Nascimento,ARTHURNASCIMENTO,12,15,2022-04-01,,,0.0,2024-11-12 20:04:47.397271,2024-11-12 20:04:47.397278
642,3,GRR43977182,Genilson De Sa,GENILSONDESA,12,9,2016-01-08,2021-08-14,2022-03-25,0.7329,2024-11-12 20:04:44.469002,2024-11-12 20:04:44.469009
643,4,GRR33946580,Juliane Filho,JULIANEFILHO,12,15,2020-01-25,,,0.7289,2024-11-12 20:04:47.402247,2024-11-12 20:04:47.402254
644,4,GRR57095687,Adenilson Dias,ADENILSONDIAS,12,15,2017-01-12,,,0.5775,2024-11-12 20:04:47.407223,2024-11-12 20:04:47.407230
645,5,GRR95612626,Zilda Rodriguês,ZILDARODRIGUES,12,15,2023-03-03,,,0.9888,2024-11-12 20:04:47.412662,2024-11-12 20:04:47.412671
646,4,GRR82853467,Sandro De Assis,SANDRODEASSIS,10,5,2022-03-28,,,0.0,2024-11-12 20:04:44.492601,2024-11-12 20:04:44.492609
647,4,GRR77783909,Joana Cavalcanti,JOANACAVALCANTI,12,15,2018-01-12,,,0.7953,2024-11-12 20:04:44.498118,2024-11-12 20:04:44.498127
648,5,GRR83633811,Teresinha Da Rosa,TERESINHADAROSA,12,15,2023-04-11,,,0.0,2024-11-12 20:04:44.503919,2024-11-12 20:04:44.503928
649,4,GRR90468664,Creusa Domingos,CREUSADOMINGOS,12,15,2021-11-03,,,0.4112,2024-11-12 20:04:47.417512,2024-11-12 20:04:47.417520
650,4,GRR03802413,Poliana Franca,POLIANAFRANCA,12,15,2019-01-17,,,0.4661,2024-11-12 20:04:47.422711,2024-11-12 20:04:47.422718
651,4,GRR84300643,Angelita De Medeiros,ANGELITADEMEDEIROS,12,15,2020-02-15,,,0.4071,2024-11-12 20:04:47.428014,2024-11-12 20:04:47.428022
652,4,GRR51851306,Jean Fraga,JEANFRAGA,12,15,2022-04-01,,,0.8681,2024-11-12 20:04:47.433184,2024-11-12 20:04:47.433192
653,4,GRR87692010,Geovani Rangel,GEOVANIRANGEL,12,15,2020-03-13,,,0.7688,2024-11-12 20:04:47.438647,2024-11-12 20:04:47.438654
654,4,GRR10930312,Denis Pimenta,DENISPIMENTA,12,15,2018-01-12,,,0.8338,2024-11-12 20:04:44.537790,2024-11-12 20:04:44.537797
655,3,GRR30653318,Celio Esteves,CELIOESTEVES,10,15,2018-02-21,,,0.6744,2024-11-12 20:04:47.445531,2024-11-12 20:04:47.445540
656,3,GRR14776281,Tatiane Arruda,TATIANEARRUDA,12,1,2018-01-12,,,0.0255,2024-11-12 20:04:44.547997,2024-11-12 20:04:44.548005
657,4,GRR49207867,Ivanildo Figueiredo,IVANILDOFIGUEIREDO,12,15,2019-01-17,,,0.8049,2024-11-12 20:04:47.462429,2024-11-12 20:04:47.462437
658,4,GRR10455002,Nilton Linhares,NILTONLINHARES,12,9,2018-01-12,2021-12-18,2022-03-25,0.905,2024-11-12 20:04:44.558995,2024-11-12 20:04:44.559004
659,5,GRR45110241,Vitoria Dias,VITORIADIAS,12,15,2023-03-03,,,0.862,2024-11-12 20:04:47.467646,2024-11-12 20:04:47.467654
660,4,GRR83650716,Angelita Bastos,ANGELITABASTOS,12,10,2020-01-25,,,0.0,2024-11-12 20:04:44.568869,2024-11-12 20:04:44.568876
661,4,GRR03926629,Edmundo Carlos,EDMUNDOCARLOS,9,1,2021-09-22,,,0.6,2024-11-12 20:04:44.573555,2024-11-12 20:04:44.573562
662,4,GRR43484798,Antonia Goulart,ANTONIAGOULART,12,15,2019-02-06,,,0.8384,2024-11-12 20:04:47.478093,2024-11-12 20:04:47.478102
663,4,GRR30845064,Isaura Do Socorro,ISAURADOSOCORRO,12,15,2020-01-25,,,0.8922,2024-11-12 20:04:47.483348,2024-11-12 20:04:47.483356
664,4,GRR38925664,Mario Rodrigues,MARIORODRIGUES,12,15,2020-01-25,,,0.8281,2024-11-12 20:04:47.488309,2024-11-12 20:04:47.488316
665,4,GRR35351259,Renan Bonfim,RENANBONFIM,12,15,2018-01-12,,,0.5933,2024-11-12 20:04:47.493251,2024-11-12 20:04:47.493260
666,4,GRR21865998,Carmen De Moraes,CARMENDEMORAES,10,15,2018-02-21,,,0.3991,2024-11-12 20:04:47.498949,2024-11-12 20:04:47.498957
667,4,GRR00912100,Valdineia Fraga,VALDINEIAFRAGA,12,15,2018-01-12,,2024-05-03,0.632,2024-11-12 20:04:47.504141,2024-11-12 20:04:47.504149
668,4,GRR56728563,Sergio Dasilva,SERGIODASILVA,12,15,2018-03-01,,2024-05-03,0.7789,2024-11-12 20:04:47.515041,2024-11-12 20:04:47.515049
669,4,GRR36149550,Cassio Bonfim,CASSIOBONFIM,12,15,2019-01-17,,2024-05-03,0.9169,2024-11-12 20:04:47.520417,2024-11-12 20:04:47.520425
670,4,GRR68583648,Silmara De Amorim,SILMARADEAMORIM,12,15,2021-09-20,,,0.6574,2024-11-12 20:04:47.531063,2024-11-12 20:04:47.531070
671,5,GRR78421940,Aloisio Matias,ALOISIOMATIAS,12,15,2023-03-03,,,0.8942,2024-11-12 20:04:47.540853,2024-11-12 20:04:47.540860
672,4,GRR70033124,Quiteria Das Neves,QUITERIADASNEVES,12,1,2018-03-01,,,0.4689,2024-11-12 20:04:44.630425,2024-11-12 20:04:44.630441
673,4,GRR72735297,Rosana Sántos,ROSANASANTOS,10,5,2021-09-20,,,0.0,2024-11-12 20:04:44.635589,2024-11-12 20:04:44.635596
674,4,GRR51109295,Otavio Amaro,OTAVIOAMARO,12,15,2022-06-06,,,0.645,2024-11-12 20:04:47.546538,2024-11-12 20:04:47.546547
675,4,GRR98903846,Edmar De Menezes,EDMARDEMENEZES,12,15,2021-09-20,,,0.8523,2024-11-12 20:04:47.551923,2024-11-12 20:04:47.551931
676,5,GRR71613374,Genilson Carneiro,GENILSONCARNEIRO,12,15,2023-03-03,,,0.8882,2024-11-12 20:04:45.777067,2024-11-12 20:04:45.777074
677,4,GRR48056764,Kesia Motta,KESIAMOTTA,12,15,2018-01-12,,2024-05-03,0.7602,2024-11-12 20:04:47.557361,2024-11-12 20:04:47.557369
678,4,GRR45200525,Mariana De Matos,MARIANADEMATOS,12,15,2018-02-02,,2023-07-14,0.7065,2024-11-12 20:04:44.661510,2024-11-12 20:04:44.661519
679,4,GRR73595749,Arnaldo Aguiar,ARNALDOAGUIAR,12,15,2021-11-03,,,0.1347,2024-11-12 20:04:44.666756,2024-11-12 20:04:44.666764
